Year,Country,sex,age,suicides_no,population,suicides_by_pop,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,crime_index,saftey_index
2013,Brazil,female,15-24,362.0,17123318.0,0.0021140762555481364,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,female,15-24,362.0,17123318.0,0.0021140762555481364,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,female,25-34,393.0,17492228.0,0.002246712082646076,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,female,25-34,393.0,17492228.0,0.002246712082646076,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,female,35-54,897.0,27475364.0,0.003264742916599758,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,female,35-54,897.0,27475364.0,0.003264742916599758,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,female,05-14,50.0,15923724.0,0.00031399690172977124,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,female,05-14,50.0,15923724.0,0.00031399690172977124,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,female,55-74,433.0,14022927.0,0.00308780042854106,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,female,55-74,433.0,14022927.0,0.00308780042854106,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,female,75+,88.0,3462431.0,0.002541566893318596,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,female,75+,88.0,3462431.0,0.002541566893318596,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,male,15-24,1317.0,17627508.0,0.007471277278671495,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,male,15-24,1317.0,17627508.0,0.007471277278671495,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,male,25-34,2004.0,17534209.0,0.011429086992176266,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,male,25-34,2004.0,17534209.0,0.011429086992176266,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,male,35-54,3053.0,25965164.0,0.011758061686034412,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,male,35-54,3053.0,25965164.0,0.011758061686034412,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
2013,Brazil,male,05-14,72.0,16555477.0,0.0004349013924515736,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,62.62,37.38
2013,Brazil,male,05-14,72.0,16555477.0,0.0004349013924515736,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,62.62,37.38
