Country,Schizophrenia,Bipolar disorder,Eating disorders,Anxiety disorders,Drug use disorders,Depression,Alcohol use disorders
,,,,,,,
Afghanistan,0.23%,0.73%,0.12%,5.03%,0.52%,5.13%,0.44%
African Region (WHO),0.22%,0.59%,0.11%,3.59%,0.40%,4.59%,1.11%
Albania,0.31%,0.58%,0.15%,4.10%,0.49%,2.63%,1.79%
Algeria,0.26%,0.80%,0.22%,5.05%,0.49%,4.37%,0.43%
American Samoa,0.32%,0.29%,0.13%,4.25%,0.76%,2.80%,0.68%
Andorra,0.32%,1.03%,0.57%,6.01%,1.12%,3.97%,2.31%
Angola,0.22%,0.56%,0.14%,4.01%,0.36%,5.86%,1.10%
Antigua and Barbuda,0.30%,0.99%,0.28%,4.54%,0.83%,3.17%,2.05%
Argentina,0.33%,1.12%,0.36%,5.36%,0.74%,2.59%,2.28%
Armenia,0.30%,0.58%,0.13%,3.37%,0.55%,3.19%,2.14%
Australia,0.43%,1.24%,1.14%,6.41%,2.40%,4.83%,2.05%
Austria,0.30%,0.99%,0.62%,6.58%,1.16%,3.42%,2.76%
Azerbaijan,0.30%,0.56%,0.15%,2.64%,0.48%,2.94%,2.79%
Bahamas,0.30%,0.94%,0.31%,4.56%,0.97%,3.21%,1.97%
Bahrain,0.28%,0.82%,0.30%,5.15%,0.43%,4.72%,0.50%
Bangladesh,0.28%,0.40%,0.12%,3.27%,0.37%,4.75%,1.16%
Barbados,0.30%,0.98%,0.25%,4.56%,1.11%,3.34%,1.33%
Belarus,0.30%,0.56%,0.14%,3.76%,0.92%,4.13%,2.76%
Belgium,0.30%,0.99%,0.48%,5.55%,1.17%,3.90%,2.52%
Belize,0.28%,0.95%,0.20%,4.37%,0.88%,3.46%,1.59%
Benin,0.22%,0.56%,0.10%,3.29%,0.35%,4.54%,0.56%
Bermuda,0.32%,1.04%,0.39%,4.59%,0.99%,3.37%,1.22%
Bhutan,0.30%,0.41%,0.15%,3.38%,0.38%,4.16%,2.39%
Bolivia,0.28%,0.93%,0.25%,5.99%,0.80%,3.55%,1.00%
Bosnia and Herzegovina,0.31%,0.59%,0.15%,3.78%,0.40%,2.95%,2.14%
Botswana,0.24%,0.57%,0.19%,3.72%,0.61%,4.46%,2.04%
Brazil,0.29%,1.17%,0.24%,7.77%,1.11%,3.99%,2.96%
Brunei,0.33%,0.66%,0.46%,3.09%,0.86%,1.74%,0.98%
Bulgaria,0.31%,0.50%,0.17%,3.64%,0.72%,2.88%,1.95%
Burkina Faso,0.21%,0.54%,0.09%,3.15%,0.27%,4.43%,0.56%
Burundi,0.20%,0.59%,0.07%,3.71%,0.34%,4.79%,1.44%
Cambodia,0.28%,0.33%,0.09%,4.71%,0.44%,3.04%,0.79%
Cameroon,0.22%,0.55%,0.11%,3.28%,0.47%,4.73%,0.58%
Canada,0.32%,0.89%,0.47%,4.77%,2.72%,3.64%,1.97%
Cape Verde,0.24%,0.61%,0.14%,3.23%,0.52%,5.07%,0.56%
Central African Republic,0.19%,0.54%,0.07%,4.45%,0.34%,5.99%,1.12%
Chad,0.21%,0.55%,0.10%,3.43%,0.29%,5.22%,0.51%
Chile,0.34%,1.08%,0.39%,5.92%,1.22%,3.95%,2.86%
China,0.33%,0.19%,0.12%,3.39%,0.69%,2.92%,1.28%
Colombia,0.30%,0.78%,0.23%,4.98%,0.92%,2.35%,2.23%
Comoros,0.23%,0.63%,0.09%,3.68%,0.35%,4.42%,1.31%
Congo,0.22%,0.56%,0.13%,3.81%,0.41%,5.64%,1.18%
Cook Islands,0.33%,0.30%,0.17%,4.31%,0.79%,3.33%,0.81%
Costa Rica,0.30%,0.93%,0.25%,4.47%,0.62%,3.42%,1.93%
Cote d'Ivoire,0.22%,0.54%,0.12%,3.30%,0.34%,4.01%,0.56%
Croatia,0.32%,0.59%,0.18%,3.87%,0.85%,3.24%,2.28%
Cuba,0.30%,1.00%,0.20%,4.49%,0.81%,4.02%,1.53%
Cyprus,0.30%,0.99%,0.44%,7.01%,0.67%,3.38%,1.80%
Czechia,0.32%,0.59%,0.21%,3.40%,1.23%,3.11%,2.43%
Democratic Republic of Congo,0.21%,0.56%,0.08%,3.85%,0.35%,5.50%,1.04%
Denmark,0.27%,1.04%,0.52%,5.39%,1.10%,3.85%,3.04%
Djibouti,0.23%,0.63%,0.11%,3.39%,0.38%,4.64%,1.44%
Dominica,0.29%,0.95%,0.22%,4.49%,1.04%,3.24%,2.03%
Dominican Republic,0.29%,0.95%,0.24%,4.71%,0.65%,4.00%,1.36%
East Asia & Pacific (WB),0.33%,0.28%,0.15%,3.45%,0.68%,2.83%,1.15%
Eastern Mediterranean Region (WHO),0.27%,0.67%,0.18%,4.84%,0.47%,4.46%,0.70%
Ecuador,0.29%,0.96%,0.30%,5.51%,0.65%,3.51%,1.01%
Egypt,0.26%,0.76%,0.21%,4.81%,0.35%,4.13%,0.41%
El Salvador,0.28%,0.87%,0.21%,4.65%,0.37%,3.60%,3.73%
England,0.27%,1.23%,0.47%,4.87%,2.18%,4.52%,3.33%
Equatorial Guinea,0.24%,0.57%,0.22%,3.89%,0.43%,5.86%,1.19%
Eritrea,0.21%,0.60%,0.09%,3.85%,0.38%,4.99%,1.71%
Estonia,0.31%,0.56%,0.19%,3.65%,1.69%,3.99%,1.86%
Eswatini,0.23%,0.55%,0.16%,3.62%,0.70%,4.59%,2.28%
Ethiopia,0.22%,0.63%,0.09%,3.54%,0.34%,4.74%,2.65%
Europe & Central Asia (WB),0.30%,0.78%,0.33%,4.70%,1.02%,3.79%,2.32%
European Region (WHO),0.30%,0.79%,0.33%,4.69%,1.02%,3.79%,2.31%
Fiji,0.30%,0.29%,0.11%,4.20%,0.71%,3.03%,0.62%
Finland,0.29%,0.98%,0.53%,4.39%,1.13%,4.55%,2.49%
France,0.30%,1.00%,0.52%,6.91%,1.25%,4.23%,2.24%
G20,0.32%,0.48%,0.20%,3.88%,0.90%,3.41%,1.50%
Gabon,0.23%,0.57%,0.19%,4.06%,0.43%,5.65%,1.20%
Gambia,0.22%,0.56%,0.10%,3.41%,0.36%,5.66%,0.53%
Georgia,0.30%,0.56%,0.14%,2.66%,0.52%,3.54%,2.37%
Germany,0.29%,0.82%,0.47%,6.81%,1.07%,3.70%,2.22%
