Year,Country,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
2015,Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811
2015,Netherlands,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761
2015,Israel,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172
2015,United States,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105
2015,Brazil,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574
2015,Singapore,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105
2015,Spain,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227
2015,Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705
2015,Lithuania,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641
2015,Hungary,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128
2016,Canada,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834
2016,Netherlands,7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416
2016,Israel,11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288
2016,United States,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077
2016,Brazil,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776
2016,Singapore,22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706
2016,Spain,37,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665
2016,Japan,53,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224
2016,Lithuania,60,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025
2016,Hungary,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099
2013,Netherlands,6,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671
2013,Canada,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627
2013,Israel,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003
2013,United States,14,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093
2013,Brazil,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283
2013,Singapore,26,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.46430778503418,0.345965981483459
2013,Spain,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756
2013,Japan,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176
2013,Lithuania,52,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.0118656428530812,0.010164656676352
2013,Hungary,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056
2013,Netherlands,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333
2013,Canada,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321
2013,United States,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291
2013,Israel,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354
2013,Brazil,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11
2013,Singapore,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261
2013,Spain,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142
2013,Lithuania,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026
2013,Japan,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079
2013,Hungary,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061
2011,Netherlands,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322
2011,Canada,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285
2011,Israel,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261
2011,United States,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28
2011,Spain,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153
2011,Brazil,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099
2011,Singapore,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271
2011,Lithuania,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043
2011,Japan,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069
2011,Hungary,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081
